date,artificial intelligence,crime,education,elections,entertainment,environment,finance,health,immigration,international relations,pandemics,politics,protests,science,sports,technology,videogames,war
2023-09-21,,,,,media mogul rupert murdoch announces his retirement and plan to hand off his businesses news corp and fox over to his son lachlan,,,,,,,rupert murdoch announces his retirement and passes his businesses on to his son lachlan murdoch led news corp and fox and formerly sky group,,carbon is reported to be present in the subterranean ocean of europa based on observations by the james webb space telescope,fiba intercontinental cup basketball international winner sesi franca,,the tokyo game show convention took place at the makuhari messe in chiba japan,
2023-09-22,,,,,,,,,,syrian president bashar alassad visits china meets with chinese leader xi jinping and signs a strategic partnership with china on infrastructure as part of chinas belt and road initiative,,,,astronomers report studies of the trappist b exoplanet finding no signs of an atmosphere and commenting that the planet could be a bare rock have clouds high in the atmosphere or have a very heavy molecule like carbon dioxide that makes the atmosphere too small to detect,laver cup tennis international winner team world solheim cup golf international winner europe,,,
2023-09-23,,,,,,,,,,,,,,,,,october asian games in hangzhou zhejiang china,
2023-09-24,,,,madeiran regional election,,,,,,,,nigerien crisis french president emmanuel macron announces that france will end its military presence in niger and will recall its ambassador from the country french senate election,,scientists report the successful return of samples from nasas osirisrex mission to the asteroid bennu shortly after the sample container was retrieved and transferred to an airtight chamber at the johnson space center in houston texas the lid on the container was opened scientists commented that they found black dust and debris on the avionics deck of the osirisrex science canister on the initial opening later study was planned a news conference on the asteroid sample is scheduled for october,european league of football championship game american football regional winner rhein fire japanese grand prix f formula racing international winner max verstappen red bull racinghonda rbpt berlin marathon marathon international winner men eliud kipchogewomen tigst assefa,,,october over ethnic armenians flee nagornokarabakh
2023-09-25,,an estimated people are killed and over are injured during an explosion at a gas station in stepanakert nagornokarabakh,,,,,,,,,,,,,,,,
2023-09-26,aws announced plans for additional data centers in new albany and a billion investment by,,,,,,,,,,,,,,,work begins on the seventh and final primary mirror of the giant magellan telescope which is expected to provide quadruple the image resolution of previous observatories when completed,,
2023-09-27,,,,,,,,,,,,,,,,jim ryan ceo of sony interactive entertainment announced his intent to leave sony by april,,
2023-09-28,,,,,,,,,,,,samvel shahramanyan president of the breakaway republic of artsakh signs a decree to dissolve all state institutions of artsakh beginning at the start of,,,fiba europe supercup women basketball continental winner fenerbahe,,epic games laid off about of its workforce approximately employees including divestment of bandcamp and superawesome,
2023-09-29,,,,,,,,,,,,,,,ryder cup golf international winner europe,,,
2023-09-30,,,,slovak parliamentary election smer under the leadership of former prime minister robert fico wins a plurality of seats in the national council slovak parliamentary election,,,,,,,,,,,china open tennis international winner men jannik sinnerwomen iga witek major league baseball postseason following a miami marlins victory against the pittsburgh pirates kim ng becomes the first female general manager to lead a playoff team in major league baseball history world artistic gymnastics championships artistic gymnastics international winner united states,,,
2023-10-01,,,,,,,,,,,,california governor gavin newsom appoints laphonza butler to fill the us senate seat left vacant by the death of dianne feinstein,,astronomers propose a new more comprehensive view of the cosmos which includes all objects in the universe and suggested that the universe may have begun with instantons and may be a black hole,,,,
